,tweet_id,sentiment,content
0,1956967341,negative,@tiffanylue i know  i was listenin to bad habit earlier and i started freakin at his part =[
1,1956967666,negative,Layin n bed with a headache  ughhhh...waitin on your call...
2,1956967696,negative,Funeral ceremony...gloomy friday...
3,1956967789,positive,wants to hang out with friends SOON!
5,1956968477,negative,Re-pinging @ghostridah14: why didn't you go to prom? BC my bf didn't like my friends
6,1956968487,negative,"I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!"
7,1956968636,negative,Hmmm. http://www.djhero.com/ is down
8,1956969035,negative,@charviray Charlene my love. I miss you
9,1956969172,negative,@kelcouch I'm sorry  at least it's Friday?
11,1956969531,negative,Choked on her retainers
12,1956970047,negative,Ugh! I have to beat this stupid song to get to the next  rude!
13,1956970424,negative,@BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol
15,1956971077,negative,The storm is here and the electricity is gone
16,1956971170,positive,@annarosekerr agreed
17,1956971206,negative,So sleepy again and it's not even that late. I fail once again.
18,1956971473,negative,@PerezHilton lady gaga tweeted about not being impressed by her video leaking just so you know
19,1956971586,negative,How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend
20,1956971981,negative,@raaaaaaek oh too bad! I hope it gets better. I've been having sleep issues lately too
21,1956972097,positive,"Wondering why I'm awake at 7am,writing a new song,plotting my evil secret plots muahahaha...oh damn it,not secret anymore"
23,1956972270,negative,I ate Something I don't know what it is... Why do I keep Telling things about food
24,1956972359,negative,so tired and i think i'm definitely going to get an ear infection.  going to bed &quot;early&quot; for once.
25,1956972444,negative,On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers......damn i feel old
26,1956972557,negative,"@IsaacMascote  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!"
27,1956972884,negative,Damm servers still down  i need to hit 80 before all the koxpers pass me
28,1956973598,negative,Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!
29,1956973690,negative,I HATE CANCER. I HATE IT I HATE IT I HATE IT.
30,1956974706,negative,It is so annoying when she starts typing on her computer in the middle of the night!
36,1956976312,negative,@ether_radio yeah :S i feel all funny cause i haven't slept enough  i woke my mum up cause i was singing she's not impressed :S you?
37,1956976371,negative,I need skott right now
40,1956977084,positive,mmm much better day... so far! it's still quite early. last day of #uds
41,1956977187,positive,@DavidArchie &lt;3 your gonna be the first  twitter ;) cause your amazing lol. come to canada  would do anything to see you perform
42,1956977618,negative,just picked up her Blackberry from the middle of the street! Both she and it are crushed!
43,1956977624,negative,Why do I have the feeling I should be packing and hitting for SFO around this time of the year? I think I'm missing something...
44,1956978276,negative,@creyes middle school and elem. High schools will remain open for those who need credits to graduate. Cali is broken
45,1956978410,negative,"Bed!!!!!... its time,..... hope i go to school tomorrow, all though i don't feel very well right now"
46,1956978668,negative,"@onscrn Ahh.  ... Well, I was hoping that I could learn some stuff on the way. ... Why not you and I work on separate things but also"
47,1956979150,negative,I'm having a problem with my photo here in twitter amf!!!...can't see my face!
51,1956979900,negative,why am i so tired?
52,1956979917,negative,@djmicdamn hey yu lil fucker i textd yu
55,1956980972,negative,sucks not being able to take days off of work or have the money to take the trip  so sad
56,1956981427,positive,"bed...sorta. today was good, sara has strep thought Angelina does to; i shared a water with her B4 they told me, i will prob get it to"
59,1956982383,negative,"@maternitytees Aww  Onward and upwards now, yay! Still sad to leave I bet."
60,1956982449,negative,@itsgabbith at once haha.  poor aby still gets sore!
61,1956982576,negative,diesel yaris... 70mpg  so sad its not available in the US. That'd be awesome.
62,1956982605,negative,I want to buy this great album but unfortunately i dont hav enuff funds  its &quot;long time noisy&quot;
63,1956983160,negative,@Pokinatcha  in all honesty...pain   blech.
64,1956983171,negative,Ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ...
66,1956983509,negative,@DavidCookLove ia so much! i haven't really been happy with any of cooks choices for singles.
67,1956983690,negative,@vincew @stefanyngo  i fell asleep on the beach and didn't put on enough sunscreen  lol
68,1956983851,negative,So i think my son might have the flu cause I def. just cleaned up a stanky puke mess  Poor pumkpin
69,1956983874,positive,"So great to see Oin &amp; Cynthia.  So happy.  Dinner was great, cute little place.  Too bad Oin got sick afterwards."
71,1956984185,negative,...and all woman who transfer their first impressions (sexual/maternal) onto a less 'threatening' man -- are themselves as weak as 'Him'
74,1956984864,negative,"Bitten to blood by my cat, on my way for a rabies bacterin. Seems 7 shots for 2 months. Never wash my cats at home again, they hate water"
77,1956985535,positive,"@havingmysay  dude, that is my favorite sandwich place ever. ummm did you take PICTURES?"
78,1956985612,negative,is sad that shin ae got married...and it wasn't to alex
79,1956985758,negative,"@shondarhimes Sure you will tweet about this when you're back, but news is abuzz about TR Knight's leaving &quot;confirmed&quot; today.  Muy triste."
80,1956985764,negative,@RachelLock22 ohh thursday i have exams.. all day  what about wednesday ?
82,1956986211,negative,"@gcrush @nopantsdance i was just thinking about how excited i am for you guys to move, but then i realized how sad i am to see you go."
83,1956986359,negative,"goooood mooorning people... sun is out.. definitly spring now, we had our first spring hail storm, my car has dimples now.."
84,1956986767,negative,@artfuldodga I love those 'it'sakey' USB sticks. We only have the 4GB in Australia
85,1956987381,negative,fresh prince and sleepy sleeps my nightly routine  gotta go to Dmv early tmrw
86,1956987600,negative,dammit! hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers. so i can't watch and code
87,1956987828,negative,@emmarler i am jealous of your mom talking to @taylorswift13. i want to see you all our twittering is making me miss you
88,1956987904,negative,I can't sleep...I keep thinking about the puppy I played with today
89,1956987950,negative,.. I'm suppposed to be sleep. But i got some much to do. &amp; i got that one part of the song stuck in my head &quot;your a jerk (iknow)&quot;  blaahh
92,1956988223,negative,"Last one month due to summer, strawberry is not availble in the Chennai markets!"
94,1956989093,positive,@RobertF3 correct! I ADORE him. I just plucked him up and put him under my arm cuz he was cryin.  All better now! Hahaha
95,1956989514,negative,@sweeetnspicy hiii im on my ipod...i cant fall asleep
96,1956989526,negative,dont wanna work 11-830 tomorrow  but i get paid
97,1956989560,negative,feels sad coz i wasnt able to play with the guys!!!  http://plurk.com/p/wxiux
99,1956989601,negative,@ cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS
100,1956989914,negative,First ever dropped call on my mobile. On a call to @Telstra no less! ( being charged for data even though I have a data pack  )
101,1956990288,negative,@mrgenius23 You win ... SIGH Rakeem
103,1956990568,negative,Darn these allergies! I don't like this time of year because of this! I never used to have this problem either
104,1956990729,negative,Oh no one minute too late! Oh well
105,1956991009,negative,"@soviet_star Damn, that sucks"
106,1956991673,negative,@cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS
