,tweet_id,sentiment,content
0,1956967341,negative,@tiffanylue i know  i was listenin to bad habit earlier and i started freakin at his part =[
1,1956967666,negative,Layin n bed with a headache  ughhhh...waitin on your call...
2,1956967696,negative,Funeral ceremony...gloomy friday...
3,1956967789,positive,wants to hang out with friends SOON!
4,1956968416,neutral,"@dannycastillo We want to trade with someone who has Houston tickets, but no one will."
5,1956968477,negative,Re-pinging @ghostridah14: why didn't you go to prom? BC my bf didn't like my friends
6,1956968487,negative,"I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!"
7,1956968636,negative,Hmmm. http://www.djhero.com/ is down
8,1956969035,negative,@charviray Charlene my love. I miss you
9,1956969172,negative,@kelcouch I'm sorry  at least it's Friday?
10,1956969456,neutral,cant fall asleep
11,1956969531,negative,Choked on her retainers
12,1956970047,negative,Ugh! I have to beat this stupid song to get to the next  rude!
13,1956970424,negative,@BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol
15,1956971077,negative,The storm is here and the electricity is gone
16,1956971170,positive,@annarosekerr agreed
17,1956971206,negative,So sleepy again and it's not even that late. I fail once again.
18,1956971473,negative,@PerezHilton lady gaga tweeted about not being impressed by her video leaking just so you know
19,1956971586,negative,How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend
20,1956971981,negative,@raaaaaaek oh too bad! I hope it gets better. I've been having sleep issues lately too
21,1956972097,positive,"Wondering why I'm awake at 7am,writing a new song,plotting my evil secret plots muahahaha...oh damn it,not secret anymore"
22,1956972116,neutral,No Topic Maps talks at the Balisage Markup Conference 2009   Program online at http://tr.im/mL6Z (via @bobdc) #topicmaps
23,1956972270,negative,I ate Something I don't know what it is... Why do I keep Telling things about food
24,1956972359,negative,so tired and i think i'm definitely going to get an ear infection.  going to bed &quot;early&quot; for once.
25,1956972444,negative,On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers......damn i feel old
26,1956972557,negative,"@IsaacMascote  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!"
27,1956972884,negative,Damm servers still down  i need to hit 80 before all the koxpers pass me
28,1956973598,negative,Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!
29,1956973690,negative,I HATE CANCER. I HATE IT I HATE IT I HATE IT.
30,1956974706,negative,It is so annoying when she starts typing on her computer in the middle of the night!
31,1956975441,neutral,@cynthia_123 i cant sleep
32,1956975860,neutral,I missed the bl***y bus!!!!!!!!
33,1956975876,neutral,feels strong contractions but wants to go out.  http://plurk.com/p/wxidk
34,1956975927,neutral,SoCal!  stoked. or maybe not.. tomorrow
35,1956976187,neutral,Screw you @davidbrussee! I only have 3 weeks...
36,1956976312,negative,@ether_radio yeah :S i feel all funny cause i haven't slept enough  i woke my mum up cause i was singing she's not impressed :S you?
37,1956976371,negative,I need skott right now
38,1956976557,neutral,has work this afternoon
39,1956976681,neutral,@GABBYiSACTiVE Aw you would not unfollow me would you? Then I would cry
40,1956977084,positive,mmm much better day... so far! it's still quite early. last day of #uds
41,1956977187,positive,@DavidArchie &lt;3 your gonna be the first  twitter ;) cause your amazing lol. come to canada  would do anything to see you perform
42,1956977618,negative,just picked up her Blackberry from the middle of the street! Both she and it are crushed!
43,1956977624,negative,Why do I have the feeling I should be packing and hitting for SFO around this time of the year? I think I'm missing something...
44,1956978276,negative,@creyes middle school and elem. High schools will remain open for those who need credits to graduate. Cali is broken
45,1956978410,negative,"Bed!!!!!... its time,..... hope i go to school tomorrow, all though i don't feel very well right now"
46,1956978668,negative,"@onscrn Ahh.  ... Well, I was hoping that I could learn some stuff on the way. ... Why not you and I work on separate things but also"
47,1956979150,negative,I'm having a problem with my photo here in twitter amf!!!...can't see my face!
48,1956979437,neutral,"@jakeboyd, oh noooo!  if i blow a tire you're reaaaally going to have to send up some batman smoke."
49,1956979756,neutral,wnna take a bath!!!!
50,1956979894,neutral,Chocolate milk is so much better through a straw. I lack said straw
51,1956979900,negative,why am i so tired?
52,1956979917,negative,@djmicdamn hey yu lil fucker i textd yu
53,1956980788,neutral,"@Mennard time diff and i've just been wrapped up in day to day stuff so i havent been tweeting. talk soon,must sleep...up in 6hrs"
54,1956980883,neutral,@benballer  no way! damn that sucks B!  are you ok?
55,1956980972,negative,sucks not being able to take days off of work or have the money to take the trip  so sad
56,1956981427,positive,"bed...sorta. today was good, sara has strep thought Angelina does to; i shared a water with her B4 they told me, i will prob get it to"
57,1956981850,neutral,@ramtops the recession. her hotel are restructuring how the accounts are done. adds a bit more pressure in the short term but we'll cope
58,1956982075,neutral,@lostluna But I got dibs on Sulu...
59,1956982383,negative,"@maternitytees Aww  Onward and upwards now, yay! Still sad to leave I bet."
60,1956982449,negative,@itsgabbith at once haha.  poor aby still gets sore!
61,1956982576,negative,diesel yaris... 70mpg  so sad its not available in the US. That'd be awesome.
62,1956982605,negative,I want to buy this great album but unfortunately i dont hav enuff funds  its &quot;long time noisy&quot;
63,1956983160,negative,@Pokinatcha  in all honesty...pain   blech.
64,1956983171,negative,Ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ...
65,1956983467,neutral,At home alone with not much to do
66,1956983509,negative,@DavidCookLove ia so much! i haven't really been happy with any of cooks choices for singles.
67,1956983690,negative,@vincew @stefanyngo  i fell asleep on the beach and didn't put on enough sunscreen  lol
68,1956983851,negative,So i think my son might have the flu cause I def. just cleaned up a stanky puke mess  Poor pumkpin
69,1956983874,positive,"So great to see Oin &amp; Cynthia.  So happy.  Dinner was great, cute little place.  Too bad Oin got sick afterwards."
70,1956983931,neutral,I cant give @jertronic any bday nudges.
71,1956984185,negative,...and all woman who transfer their first impressions (sexual/maternal) onto a less 'threatening' man -- are themselves as weak as 'Him'
72,1956984205,neutral,Brothers Bloom won't be opening this weekend in El Paso.  I'll just buy Brick and enjoy that until I can watch Brothers Bloom.
73,1956984559,neutral,says I miss plurking.  http://plurk.com/p/wxion
74,1956984864,negative,"Bitten to blood by my cat, on my way for a rabies bacterin. Seems 7 shots for 2 months. Never wash my cats at home again, they hate water"
75,1956984894,neutral,I miss Voobys!
76,1956985129,neutral,@Dancing_Monk Neither are ELP!!
77,1956985535,positive,"@havingmysay  dude, that is my favorite sandwich place ever. ummm did you take PICTURES?"
78,1956985612,negative,is sad that shin ae got married...and it wasn't to alex
79,1956985758,negative,"@shondarhimes Sure you will tweet about this when you're back, but news is abuzz about TR Knight's leaving &quot;confirmed&quot; today.  Muy triste."
80,1956985764,negative,@RachelLock22 ohh thursday i have exams.. all day  what about wednesday ?
81,1956985973,neutral,there was a mix up with my dentist appt this afternoon. so they rescheduled me for tomorrow @ 9am.
82,1956986211,negative,"@gcrush @nopantsdance i was just thinking about how excited i am for you guys to move, but then i realized how sad i am to see you go."
